enroll,name,gender,dob,password,batch,courses,semester
1038, Sanya Thakur,Female,27-06-2003,pwd38,B2,"['DS01', 'OS01', 'DL01', 'AM01']",6
1039, Devansh Chauhan,Female,06-06-2004,pwd39,B2,"['AP01', 'CA01', 'DL01', 'BNM01']",6
1040, Aarohi Reddy,Female,15-03-2001,pwd40,B2,"['OS01', 'AP01', 'QP01', 'AM01']",6
1041, Jay Mehta,Female,02-09-1996,pwd41,B3,"['OS01', 'AP01', 'CA01', 'ML01']",6
1042, Tanvi Chandra,Male,20-10-1998,pwd42,B3,"['ML01', 'AP01', 'DL01', 'CA01']",6
1043, Harsh Shah,Male,12-02-1999,pwd43,B3,"['CA01', 'QP01', 'BNM01', 'DS01']",6
1044, Maya Rao,Male,10-04-2003,pwd44,B3,"['CA01', 'OS01', 'ML01', 'AM01']",6
1045, Kunal Verma,Male,13-07-2001,pwd45,B3,"['AP01', 'OS01', 'QP01', 'DL01']",6
1046, Nandini Sharma,Male,03-05-1998,pwd46,B3,"['DL01', 'AP01', 'ML01', 'AM01']",6
1047, Varun Patil,Female,05-08-2000,pwd47,B3,"['BNM01', 'AP01', 'DS01', 'AM01']",6
1048, Tanya Nair,Female,16-07-1994,pwd48,B3,"['CA01', 'DS01', 'ML01', 'OS01']",6
1049, Mihir Joshi,Female,04-08-2000,pwd49,B3,"['CA01', 'AM01', 'ML01', 'DL01']",6
1050, Radhika Kapoor,Female,09-05-1998,pwd50,B3,"['AM01', 'DL01', 'AP01', 'ML01']",6
1051, Abhay Jain,Male,24-10-1996,pwd51,B3,"['AP01', 'OS01', 'QP01', 'CA01']",6
1052, Anika Shetty,Female,09-06-2003,pwd52,B3,"['AM01', 'QP01', 'OS01', 'ML01']",6
1053, Rishi Agarwal,Male,02-04-1994,pwd53,B3,"['BNM01', 'DS01', 'OS01', 'DL01']",6
1054, Isha Chaudhary,Female,08-09-2005,pwd54,B3,"['AP01', 'DL01', 'BNM01', 'QP01']",6
1055, Veer Ahuja,Female,24-06-1999,pwd55,B3,"['CA01', 'QP01', 'AM01', 'OS01']",6
1056, Amaya Malhotra,Male,30-05-1996,pwd56,B3,"['CA01', 'AM01', 'AP01', 'QP01']",6
1057, Sahil Rao,Male,26-09-1992,pwd57,B3,"['DL01', 'BNM01', 'CA01', 'ML01']",6
1058, Tamanna Das,Male,22-12-2000,pwd58,B3,"['DL01', 'CA01', 'QP01', 'AM01']",6
1059, Tushar Gupta,Female,12-04-1998,pwd59,B3,"['CA01', 'AP01', 'DL01', 'AM01']",6
1060, Naina Reddy,Female,22-09-2005,pwd60,B3,"['OS01', 'DS01', 'BNM01', 'AM01']",6
1061, Arnav Desai,Male,15-01-1990,pwd61,B4,"['DS01', 'OS01', 'BNM01', 'QP01']",6
1062, Sneha Pandey,Male,30-11-1999,pwd62,B4,"['CA01', 'BNM01', 'AP01', 'DS01']",6
1063, Nishant Menon,Male,01-01-1994,pwd63,B4,"['AM01', 'AP01', 'CA01', 'DS01']",6
1064, Divya Srivastava,Male,27-02-1999,pwd64,B4,"['OS01', 'AM01', 'AP01', 'QP01']",6
1065, Laksh Sharma,Male,28-08-1999,pwd65,B4,"['AM01', 'BNM01', 'ML01', 'DL01']",6
1066, Alia Mehta,Female,10-10-1991,pwd66,B4,"['DL01', 'AP01', 'DS01', 'BNM01']",6
1067, Aditya Kapoor,Male,06-09-2004,pwd67,B4,"['DS01', 'BNM01', 'DL01', 'QP01']",6
1068, Sanjana Nair,Female,17-10-1992,pwd68,B4,"['DS01', 'CA01', 'AP01', 'DL01']",6
1069, Vihaan Bansal,Male,24-06-2005,pwd69,B4,"['DL01', 'DS01', 'AM01', 'CA01']",6
1070, Sneha Goel,Female,11-12-1991,pwd70,B4,"['AM01', 'QP01', 'OS01', 'DL01']",6
1071, Aarav Joshi,Female,04-03-1998,pwd71,B4,"['OS01', 'BNM01', 'AP01', 'DS01']",6
1072, Kavya Pillai,Male,27-05-1999,pwd72,B4,"['AP01', 'DS01', 'ML01', 'DL01']",6
1073, Raghav Choudhary,Male,12-10-1990,pwd73,B4,"['AM01', 'AP01', 'DS01', 'QP01']",6
1074, Aanya Iyer,Female,29-03-2003,pwd74,B4,"['DL01', 'CA01', 'OS01', 'BNM01']",6
1075, Soham Sen,Female,16-11-1994,pwd75,B4,"['DL01', 'AM01', 'DS01', 'AP01']",6
1076, Meera Chandra,Female,19-03-2002,pwd76,B4,"['DL01', 'OS01', 'CA01', 'DS01']",6
1077, Yash Thakur,Male,22-04-2000,pwd77,B4,"['ML01', 'QP01', 'OS01', 'CA01']",6
1078, Priya Kulkarni,Female,07-05-2003,pwd78,B4,"['DS01', 'CA01', 'AM01', 'QP01']",6
1079, Aryan Sinha,Male,07-06-1996,pwd79,B4,"['OS01', 'CA01', 'BNM01', 'AP01']",6
1080, Nisha Agarwal,Male,28-07-1994,pwd80,B4,"['AP01', 'BNM01', 'DS01', 'QP01']",6
